irradiancia_w_m2,temperatura_c
0.0,26.4
0.0,26.9
0.0,26.7
0.0,26.6
0.0,25.9
0.0,25.6
23.13889,26.1
208.44444,29.2
435.1111,30.9
647.5278,34.1
924.80554,35.7
994.8611,36.3
1024.1945,36.9
859.3333,34.9
981.3889,34.9
363.97223,31.5
473.55554,32.7
310.8611,32.8
60.333332,31.8
3.7222223,30.0
0.0,29.9
0.0,28.9
0.0,29.8
0.0,28.1
0.0,28.4
0.0,26.9
0.0,27.1
0.0,28.5
0.0,27.0
0.0,26.8
12.166667,26.9
93.25,27.6
321.16666,29.9
451.1389,31.7
708.4722,33.8
641.3333,34.3
514.5833,34.5
903.2778,36.4
955.8611,37.1
499.75,34.4
290.5,33.3
169.72223,32.3
54.916668,30.6
3.1388888,28.5
0.0,25.9
0.0,25.3
0.0,25.0
0.0,25.0
0.0,24.8
0.0,24.8
0.0,24.7
0.0,24.6
0.0,24.7
0.0,24.8
9.111111,24.8
102.22222,26.0
214.11111,27.2
462.66666,29.3
844.80554,31.4
629.6667,32.0
1066.6666,32.9
776.19446,33.0
768.8611,32.4
420.3889,30.4
98.638885,29.3
238.88889,29.7
108.138885,29.2
13.166667,27.3
0.0,27.5
0.0,26.9
0.0,26.3
0.0,26.3
0.0,26.8
0.0,26.9
0.0,26.8
0.0,26.5
0.0,26.4
0.0,26.4
14.166667,25.7
66.02778,27.0
291.55554,28.4
578.0278,28.3
756.1389,28.8
674.0278,29.0
910.0833,28.1
604.7778,26.7
748.9722,28.1
626.3889,27.3
225.27777,25.9
51.444443,25.1
17.027779,24.3
0.19444445,22.7
0.0,22.1
0.0,22.2
0.0,21.8
0.0,22.1
0.0,21.4
0.0,21.0
0.0,20.8
0.0,21.3
0.0,21.0
0.027777778,20.8
5.8333335,20.6
34.72222,21.1
86.916664,21.8
138.52777,22.9
496.30554,25.6
540.69446,24.0
198.44444,24.5
201.27777,25.5
384.3611,25.6
228.66667,25.1
64.77778,24.4
62.75,24.2
31.61111,24.4
5.0555553,24.3
0.0,24.2
0.0,24.0
0.0,24.0
0.0,23.9
0.0,23.5
0.0,23.4
0.0,22.9
0.0,21.2
0.0,21.4
0.0,21.6
16.555555,22.5
93.19444,24.0
274.72223,24.8
317.75,25.2
438.94446,25.5
595.9167,26.9
659.05554,27.1
527.30554,27.2
311.58334,26.6
457.47223,26.9
471.69446,27.6
178.22223,26.6
65.55556,25.9
18.333334,25.5
0.0,25.1
0.0,24.6
0.0,23.9
0.0,23.6
0.0,21.8
0.0,21.7
0.0,21.9
0.0,21.2
0.0,21.4
0.0,21.9
10.388889,22.7
73.166664,24.1
252.16667,25.4
336.02777,26.7
344.33334,27.0
346.72223,27.3
230.19444,27.2
234.63889,26.9
204.16667,25.3
161.02777,25.5
183.33333,25.7
100.583336,25.0
82.888885,25.1
12.777778,24.7
0.0,23.4
0.0,23.1
0.0,23.4
0.0,23.9
0.0,23.1
0.0,23.1
0.0,22.8
0.0,22.4
0.0,22.3
0.0,22.4
10.444445,22.7
101.44444,25.0
398.02777,28.4
618.2222,30.0
678.55554,32.1
481.5,32.4
507.33334,33.3
596.5,34.4
644.2222,34.8
627.7778,34.8
324.3611,33.2
266.91666,32.0
82.97222,30.8
9.833333,28.7
0.0,25.8
0.0,24.8
0.0,24.4
0.0,24.0
0.0,23.4
0.0,23.5
0.0,22.9
0.0,22.6
0.0,22.0
0.0,22.1
16.694445,24.1
179.97223,27.5
441.8611,30.0
654.3889,32.6
869.4167,33.8
1001.2778,35.4
963.5,36.6
1057.6666,36.9
998.25,36.7
857.9167,36.9
656.6389,35.3
399.25,34.5
163.13889,33.3
19.444445,30.3
0.0,28.3
0.0,27.3
0.0,26.9
0.0,26.3
0.0,26.4
0.0,26.3
0.0,25.4
0.0,24.0
0.0,23.6
0.0,24.6
18.666666,25.1
186.02777,27.3
445.33334,29.7
676.3333,31.7
866.75,33.1
1021.3333,34.5
1101.5834,35.0
1088.9722,36.2
1025.1389,36.9
883.5278,37.0
688.3333,37.4
440.97223,36.4
194.19444,35.3
19.166666,33.8
0.0,31.4
0.0,29.7
0.0,26.7
0.0,24.6
0.0,23.1
0.0,22.7
0.0,22.6
0.0,21.8
0.0,21.7
0.0,21.3
15.055555,22.7
186.44444,27.6
460.3889,30.8
697.8889,32.7
890.9167,34.8
1016.80554,36.5
1096.5555,36.9
1109.0278,38.4
1038.1111,39.0
896.55554,38.6
695.1667,38.5
438.66666,37.7
199.75,35.3
22.36111,33.0
0.0,30.5
0.0,30.6
0.0,28.4
0.0,25.9
0.0,24.9
0.0,24.1
0.0,23.8
0.0,23.1
0.0,22.8
0.0,22.4
14.361111,23.6
182.72223,29.4
446.25,32.6
685.30554,35.0
883.9167,36.5
1020.8611,37.5
1052.6945,38.6
600.7778,39.5
1026.25,40.1
865.1111,39.6
669.8889,38.3
429.30554,36.6
190.44444,35.0
20.694445,33.3
0.0,28.5
0.0,27.4
0.0,26.7
0.0,26.3
0.0,27.0
0.0,26.5
0.0,25.8
0.0,25.4
0.0,24.1
0.0,23.6
14.444445,24.8
169.08333,30.3
427.22223,32.7
656.94446,34.5
791.5,34.8
864.8611,33.6
1102.5555,33.5
886.6389,32.7
1023.1111,33.5
494.27777,31.4
427.97223,31.1
179.58333,31.1
116.083336,29.7
16.444445,28.7
0.0,26.7
0.0,26.4
0.0,26.9
0.0,26.8
0.0,27.5
0.0,27.0
0.0,25.2
0.0,25.2
0.0,24.0
0.0,23.4
13.638889,24.5
168.22223,27.2
436.27777,29.5
646.55554,31.3
862.2778,33.1
957.7222,34.3
966.4722,35.1
1056.0,36.0
1048.1945,36.8
167.91667,27.1
194.91667,25.7
26.61111,25.5
14.944445,25.3
6.111111,25.5
0.0,25.6
0.0,25.7
0.055555556,26.0
0.0,25.3
0.0,25.6
0.0,25.4
0.0,26.0
0.0,24.3
0.0,23.0
0.0,22.8
14.027778,23.7
154.47223,26.5
447.05554,29.1
648.69446,30.5
875.4167,31.8
989.5833,32.9
1103.9722,35.4
997.75,35.2
774.4722,35.3
554.8889,35.6
417.47223,34.3
74.30556,31.2
7.5555553,23.1
0.25,23.7
0.083333336,24.4
0.027777778,24.1
0.0,23.8
0.0,23.5
0.0,23.3
0.0,22.9
0.0,22.7
0.0,23.1
0.0,22.8
0.0,22.6
21.305555,23.4
160.16667,25.7
403.16666,27.3
583.7222,29.2
829.3611,31.6
982.9167,34.0
832.94446,34.1
711.1111,33.4
452.77777,33.8
776.8889,35.1
369.80554,32.6
104.583336,32.2
135.83333,32.2
18.083334,29.8
0.0,27.7
0.0,28.3
0.0,26.9
0.0,26.9
0.0,26.0
0.0,25.1
0.0,25.4
0.0,25.5
0.0,25.4
0.0,24.8
19.5,24.8
110.361115,27.4
372.58334,28.8
494.22223,31.2
605.0,31.6
826.3611,34.1
1006.25,35.2
657.30554,34.6
747.8333,35.8
479.02777,33.8
284.69446,33.3
261.05554,30.8
77.52778,28.8
9.583333,28.0
0.0,27.8
0.0,27.5
0.0,27.0
0.0,27.2
0.0,27.3
0.0,26.9
0.0,26.2
0.0,24.2
0.0,23.8
0.0,23.6
12.527778,23.9
103.916664,26.5
288.80554,28.5
364.97223,30.2
349.52777,30.6
347.91666,30.4
381.22223,30.4
916.7222,31.6
917.8333,32.6
772.3333,32.1
585.3333,32.7
446.22223,32.2
207.5,31.2
27.444445,30.3
0.0,29.5
0.0,25.5
0.0,24.4
0.0,23.9
0.0,23.4
0.0,24.7
0.0,24.5
0.0,23.9
0.0,27.2
0.0,27.7
16.277779,28.8
111.916664,29.8
228.88889,30.1
308.02777,30.8
359.1111,31.4
297.91666,30.9
471.08334,32.4
854.6111,33.1
512.55554,33.4
196.27777,29.5
187.86111,28.7
118.388885,28.5
14.527778,26.4
0.0,26.5
0.0,24.8
0.4722222,21.6
0.0,22.0
0.0,22.2
0.083333336,22.1
0.0,22.4
0.0,22.9
1.0833334,22.1
0.0,22.1
0.0,22.1
1.4722222,21.6
26.13889,22.2
52.166668,23.1
107.75,22.9
130.86111,23.3
126.25,22.3
155.16667,23.3
168.66667,23.0
152.22223,23.8
185.36111,23.8
79.75,22.6
47.666668,22.1
34.13889,22.9
3.4722223,22.1
0.027777778,21.7
0.0,21.6
0.0,21.4
0.0,21.5
0.0,21.2
0.0,21.3
0.0,21.1
0.0,20.9
0.0,21.0
0.0,20.8
4.5277777,21.0
38.416668,21.0
106.666664,21.4
257.41666,22.5
303.69446,23.8
250.38889,23.0
140.63889,22.8
426.58334,24.6
91.94444,21.2
192.38889,21.4
165.36111,21.9
43.97222,21.1
61.555557,21.1
17.916666,21.0
0.027777778,20.7
0.0,20.6
0.0,20.0
0.0,20.3
0.0,20.2
0.0,20.5
0.0,20.3
0.0,20.4
0.0,20.5
0.0,20.4
7.9444447,20.6
30.194445,21.0
66.69444,21.6
74.80556,21.7
135.91667,22.3
49.5,22.1
108.80556,21.3
200.55556,21.4
195.69444,22.2
163.75,22.4
166.83333,22.9
105.05556,23.4
81.77778,23.3
4.6944447,22.8
0.0,22.4
0.0,22.4
0.0,22.2
0.0,21.7
0.0,21.0
0.0,20.9
0.0,20.9
0.0,20.9
0.0,21.0
0.0,21.1
2.3055556,21.3
13.5,20.8
70.30556,20.8
51.36111,20.9
143.5,21.5
260.19446,21.7
240.66667,22.4
102.416664,21.4
77.166664,21.3
87.5,21.3
75.416664,21.5
70.138885,21.7
26.972221,21.6
4.2777777,21.6
0.0,21.7
0.0,21.7
0.0,21.6
0.0,21.7
0.0,21.6
0.0,21.5
0.0,21.5
0.027777778,21.7
0.083333336,21.5
0.0,21.5
3.7222223,21.7
36.666668,22.2
189.83333,23.7
310.05554,24.7
543.6111,27.0
674.1389,26.9
576.7778,27.3
486.0,26.6
